example file                                                                   ,,,,,
k1=0.2,k2=0.1,k3=0.12,,,
Iter,Time,a,b,c,d
1,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
2,0.00E+00,1.00E+00,1.00E-30,1.00E-30,1.00E-30
3,1.00E+00,8.19E-01,1.72E-01,8.70E-03,3.60E-04
4,2.00E+00,6.70E-01,2.97E-01,3.03E-02,2.60E-03
5,3.00E+00,5.49E-01,3.84E-01,5.93E-02,7.92E-03
6,4.00E+00,4.49E-01,4.42E-01,9.17E-02,1.70E-02
7,5.00E+00,3.68E-01,4.77E-01,1.25E-01,3.00E-02
8,6.00E+00,3.01E-01,4.95E-01,1.57E-01,4.69E-02
9,7.00E+00,2.47E-01,5.00E-01,1.86E-01,6.75E-02
10,8.00E+00,2.02E-01,4.95E-01,2.12E-01,9.14E-02
11,9.00E+00,1.65E-01,4.82E-01,2.34E-01,1.18E-01
12,1.00E+01,1.35E-01,4.65E-01,2.52E-01,1.47E-01
13,1.10E+01,1.11E-01,4.44E-01,2.67E-01,1.79E-01
14,1.20E+01,9.07E-02,4.21E-01,2.77E-01,2.11E-01
15,1.30E+01,7.43E-02,3.96E-01,2.84E-01,2.45E-01
16,1.40E+01,6.08E-02,3.72E-01,2.88E-01,2.79E-01
17,1.50E+01,4.98E-02,3.47E-01,2.90E-01,3.14E-01
18,1.60E+01,4.08E-02,3.22E-01,2.88E-01,3.49E-01
19,1.70E+01,3.34E-02,2.99E-01,2.85E-01,3.83E-01
20,1.80E+01,2.74E-02,2.76E-01,2.80E-01,4.17E-01
21,1.90E+01,2.24E-02,2.54E-01,2.73E-01,4.50E-01
22,2.00E+01,1.84E-02,2.34E-01,2.65E-01,4.82E-01
